supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
.*HDCVI.*;;;regex;Тип камери;;HDCVI;1;TRUE;301105;name;
.*HD-CVI.*;;;regex;Тип камери;;HDCVI;2;TRUE;301105;name;
.*HD-TVI.*;;;regex;Тип камери;;HD-TVI;3;TRUE;301105;name;
.*HDTVI.*;;;regex;Тип камери;;HD-TVI;4;TRUE;301105;name;
.*Turbo HD.*;;;regex;Тип камери;;HD-TVI;5;TRUE;301105;name;
\bIP\b;;;regex;Тип камери;;IP;6;TRUE;301105;name;
\bWiFi\b;;;regex;Тип камери;;Wi-Fi;7;TRUE;301105;name;
\bWi-Fi\b;;;regex;Тип камери;;Wi-Fi;8;TRUE;301105;name;
\bWi\s*Fi\b;;;regex;Тип камери;;Wi-Fi;9;TRUE;301105;name;
.*(?:HDCVI|HD-CVI).*;;;regex;Тип камери;;HDCVI;10;TRUE;301105;name;
.*(?:HD-TVI|HDTVI|Turbo HD).*;;;regex;Тип камери;;HD-TVI;11;TRUE;301105;name;
\bIP\b;;;regex;Тип камери;;IP;12;TRUE;301105;name;
\bWi[-\s]?Fi\b;;;regex;Тип камери;;Wi-Fi;13;TRUE;301105;name;
.*HFW.*;;;regex;Форм-фактор;;Корпусний;14;TRUE;301105;name;
.*HDW.*;;;regex;Форм-фактор;;Купольний;15;TRUE;301105;name;
.*PTZ.*;;;regex;Форм-фактор;;Поворотний;16;TRUE;301105;name;
.*PTZ.*;;;regex;Тип об'єктива;;Моторизований;998;TRUE;301105;name;
.*(?:Starlight).*;;;regex;Перемикання режимів "День/ніч";;Starlight;17;TRUE;301105;name;
.*(?:ColorVu).*;;;regex;Перемикання режимів "День/ніч";;ColorVu;18;TRUE;301105;name;
\b([0-9]+)\s*(?:MP|МП)\b;;;regex;Роздільна здатність (Мп);;$1 ;19;TRUE;301105;name;
\b([0-9]+(?:\.[0-9]+)?)\s*(мм|mm)\b(?!\s*[-–]);;;regex;Фокусна відстань;$2 ;$1 ;20;TRUE;301105;name;
([0-9]+(?:\.[0-9]+)?)\s*(?:\+.*)?[-–]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм|mm);;;regex;Мінімальне значення фокусної відстані;$3 ;$1 ;21;TRUE;301105;name;
([0-9]+(?:\.[0-9]+)?)\s*(?:\+.*)?[-–]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм|mm);;;regex;Максимальне значення фокусної відстані;$3 ;$2 ;22;TRUE;301105;name;
\b720[Pp]?\b;;;regex;Роздільна здатність (Мп);;1;950;TRUE;301105;name;
\b1080[Pp]?\b;;;regex;Роздільна здатність (Мп);;2;951;TRUE;301105;name;
\b4[Kk]\b;;;regex;Роздільна здатність (Мп);;8;952;TRUE;301105;name;
;Матриця;\b(CMOS|Progressive Scan CMOS)\b;regex;Тип матриці;;$1 ;23;TRUE;301105;extract;
;Матриця;([0-9]+/[0-9]+(?:\.[0-9]+)?);regex;Фізичний розмір матриці;;$1";24;TRUE;301105;extract;
;Матриця;([0-9]+)\s*(?:МП|MP)\b;regex;Роздільна здатність (Мп);;$1 ;25;TRUE;301105;extract;
;Мін\. чутливість;([0-9\.]+)\s*(лк|люкс|lux);regex;Чутливість;$2 ;$1 ;26;TRUE;301105;extract;
;Регулювання по осях;.*Поворот.*([0-9]+)(°).*Нахил.*([0-9]+)°;regex;Кут повороту;град.;$1 ;27;TRUE;301105;extract;
;Регулювання по осях;Нахил[^0-9+-]*[+-]?\d+\s*°?\s*[-–—до]+\s*([0-9]+);regex;Кут нахилу;град.;$1 ;28;TRUE;301105;extract;
;Тип підсвічування;(?:ІЧ|інфрачервон);regex;Наявність ІЧ-підсвічування;;Так;29;TRUE;301105;attribute;
;Тип підсвічування;(?:LED|світлодіод|видиме світло);regex;Наявність LED-підсвічування;;Так;30;TRUE;301105;attribute;
;Тип підсвічування;(?:ІЧ\+LED|ІЧ\+видиме світло|LED тепле світло);regex;Наявність ІЧ-підсвічування;;Так;31;TRUE;301105;attribute;
;Тип підсвічування;(?:ІЧ\+LED|ІЧ\+видиме світло|LED тепле світло);regex;Наявність LED-підсвічування;;Так;32;TRUE;301105;attribute;
;Дальність підсвічування;([0-9]+)\s*(м);regex;Дальність ІЧ-підсвічування;$2 ;$1 ;33;TRUE;301105;extract;
;Дальність підсвічування;([0-9]+)/([0-9]+)\s*(м);regex;Дальність ІЧ-підсвічування;$3 ;$1 ;34;TRUE;301105;extract;
;Дальність підсвічування;([0-9]+)/([0-9]+)\s*(м);regex;Дальність LED підсвічування;$3 ;$2 ;35;TRUE;301105;extract;
;Фокусна відстань;([0-9]+(?:\.[0-9]+)?)\s*(?:\+.*)?[-–]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм|mm);regex;Мінімальне значення фокусної відстані;$3 ;$1 ;36;TRUE;301105;extract;
;Фокусна відстань;([0-9]+(?:\.[0-9]+)?)\s*(?:\+.*)?[-–]\s*([0-9]+(?:\.[0-9]+)?)\s*(мм|mm);regex;Максимальне значення фокусної відстані;$3 ;$2 ;37;TRUE;301105;extract;
;Фокусна відстань;\b([0-9]+(?:\.[0-9]+)?)\s*(мм|mm)\b;regex;Фокусна відстань;$2 ;$1 ;38;TRUE;301105;extract;
;Кути огляду;.*Г:\s*([0-9\.]+)(°);regex;Кут огляду по горизонталі;град.;$1 ;39;TRUE;301105;extract;
;Кути огляду;.*В:\s*([0-9\.]+)(°);regex;Кут огляду по вертикалі;град.;$1 ;40;TRUE;301105;extract;
;Роздільна здатність відео;.*([0-9]+)\s*?\s*([0-9]+);regex;Роздільна здатність матриці;;$1x$2;41;TRUE;301105;extract;
;Роздільна здатність відео;.*(?:1920\s*?\s*1080|1080[Pp]);regex;Роздільна здатність (Мп);;2;42;TRUE;301105;normalize;
;Роздільна здатність відео;.*2560\s*?\s*1440;regex;Роздільна здатність (Мп);;4;43;TRUE;301105;normalize;
;Роздільна здатність відео;.*2688\s*?\s*1520;regex;Роздільна здатність (Мп);;4;44;TRUE;301105;normalize;
